name,club,age,special,height_cm,weight_kg,eur_value,eur_wage,overall,pac,sho,pas,dri,def,phy,international_reputation,preferred_foot
Willian Borges da Silva,Chelsea,28,2061,175,77,31500000,200000,84,88,76,81,86,49,64,3,Right
Willy Caballero,Chelsea,35,1241,186,80,3000000,59000,79,80,76,73,81,46,78,2,Right
Andros Townsend,Crystal Palace,25,1906,181,73,12500000,55000,78,85,75,73,80,33,63,2,Left
Bakary Sako,Crystal Palace,29,1900,183,90,3000000,36000,72,74,71,69,74,39,76,1,Left
Christian Benteke,Crystal Palace,26,1868,190,83,18000000,75000,80,73,78,65,73,33,80,3,Right
Chung-Yong Lee,Crystal Palace,28,1858,180,68,2400000,36000,71,72,63,71,72,50,61,2,Right
Connor Wickham,Crystal Palace,24,1732,191,90,4100000,33000,72,66,72,61,66,27,76,1,Right
Damien Delaney,Crystal Palace,35,1533,191,89,950000,32000,73,31,41,49,39,73,79,1,Left
James McArthur,Crystal Palace,29,1933,178,66,6500000,51000,75,62,60,72,71,72,76,1,Right
James Tomkins,Crystal Palace,28,1611,192,74,6000000,46000,75,51,33,53,54,77,75,2,Right
Jason Puncheon,Crystal Palace,31,2017,173,66,4800000,48000,74,66,68,75,75,61,70,1,Left
Jeffrey Schlupp,Crystal Palace,24,1957,178,72,3400000,27000,72,87,61,62,74,67,77,1,Left
Joel Ward,Crystal Palace,27,1838,188,83,5000000,44000,74,65,54,65,65,76,75,1,Right
Julián Speroni,Crystal Palace,38,1079,186,80,160000,17000,71,74,70,67,73,43,67,1,Right
Luka Milivojevic,Crystal Palace,26,1973,186,80,8500000,53000,76,62,62,70,66,74,81,1,Right
Mamadou Sakho,Crystal Palace,27,1728,187,83,17000000,63000,81,61,33,62,56,80,85,3,Left
Martin Kelly,Crystal Palace,27,1753,191,77,3700000,44000,73,58,44,61,62,74,76,2,Right
Pape Souaré,Crystal Palace,27,1984,178,66,3700000,44000,73,74,51,70,72,71,74,1,Left
Patrick van Aanholt,Crystal Palace,26,1989,176,67,6500000,44000,75,86,63,67,74,70,72,1,Left
Ruben Loftus-Cheek,Crystal Palace,21,1749,191,83,3900000,27000,70,67,55,63,71,64,75,1,Right
Scott Dann,Crystal Palace,30,1600,188,78,6500000,53000,77,45,40,52,49,78,77,2,Right
Timothy Fosu-Mensah,Crystal Palace,19,1947,190,78,12000000,52000,76,84,62,66,66,74,77,1,Right
Wayne Hennessey,Crystal Palace,30,1093,198,90,3600000,36000,74,73,75,80,71,41,76,2,Right
Wilfried Zaha,Crystal Palace,24,1897,180,66,22500000,60000,81,90,71,71,86,33,72,2,Right
Yohan Cabaye,Crystal Palace,31,2122,174,70,11000000,69000,79,63,73,78,75,73,71,2,Right
Aaron Lennon,Everton,30,1865,165,63,8500000,97000,77,83,64,71,82,38,62,2,Right
Ademola Lookman,Everton,19,1611,174,78,975000,13000,64,84,68,48,73,17,60,1,Right
Ashley Williams,Everton,32,1757,183,77,12500000,115000,82,65,43,56,61,81,81,3,Right
Cuco Martina,Everton,27,1862,185,77,2000000,53000,71,71,52,63,63,69,75,1,Right
Davy Klaassen,Everton,24,2108,179,70,27500000,110000,82,73,80,74,74,67,79,2,Right
Dominic Calvert-Lewin,Everton,20,1639,187,71,1700000,42000,67,82,64,51,68,31,64,1,Right
Gylfi Sigurdsson,Everton,27,2096,186,77,23000000,130000,82,66,81,84,79,52,70,3,Right
Idrissa Gueye,Everton,27,2045,174,66,24500000,115000,83,76,60,70,77,83,81,2,Right
James McCarthy,Everton,26,2047,180,72,14500000,110000,80,70,60,75,74,77,81,2,Right
Joel Robles Blázquez,Everton,27,1154,195,90,4600000,60000,74,78,69,75,77,51,72,1,Right
Jonjoe Kenny,Everton,20,1568,176,67,500000,11000,61,71,33,53,53,60,61,1,Right
Jordan Pickford,Everton,23,1304,185,77,10000000,59000,77,77,76,85,82,44,73,1,Left
Kevin Mirallas,Everton,29,2059,182,72,17500000,125000,81,83,77,77,83,46,65,2,Right
Leighton Baines,Everton,32,2211,170,74,12500000,115000,82,70,71,80,79,80,71,3,Left
Maarten Stekelenburg,Everton,34,1166,197,92,2700000,60000,75,76,73,79,75,41,72,2,Right
Mason Holgate,Everton,20,1672,184,63,1500000,34000,67,76,42,54,65,66,71,1,Right
Michael Keane,Everton,24,1888,191,82,21000000,91000,81,72,49,64,68,82,82,2,Right
Morgan Schneiderlin,Everton,27,2078,185,75,24500000,115000,83,68,62,76,77,79,81,2,Right
Muhamed Besic,Everton,24,1899,180,80,9000000,76000,76,68,50,64,74,76,76,2,Right
Phil Jagielka,Everton,34,1914,180,87,4500000,110000,80,50,46,58,55,82,78,2,Right
Ramiro Funes Mori,Everton,26,1847,186,78,9500000,88000,77,68,49,61,65,76,78,2,Left
Ross Barkley,Everton,23,2021,189,76,23000000,105000,81,77,73,77,82,55,77,2,Right
Sandro Ramírez Castillo,Everton,21,1888,175,71,13500000,84000,77,75,80,64,78,27,66,2,Right
Séamus Coleman,Everton,28,2064,177,67,14000000,115000,81,73,66,72,78,80,77,2,Right
Tom Davies,Everton,19,1861,180,70,7000000,46000,73,73,61,71,74,58,73,1,Right
Wayne Rooney,Everton,31,2127,176,83,15500000,120000,81,68,81,81,76,52,81,4,Right
Yannick Bolasie,Everton,28,1871,188,84,10500000,105000,78,87,68,68,84,31,78,2,Right
Aaron Mooy,Huddersfield Town,26,2051,174,78,10500000,52000,77,69,70,77,75,66,76,1,Right
Chris Löwe,Huddersfield Town,28,1995,175,68,3200000,42000,73,79,60,68,70,70,69,1,Left
Christopher Schindler,Huddersfield Town,27,1642,189,77,4000000,40000,73,65,32,57,51,74,73,1,Right
Collin Quaner,Huddersfield Town,26,1594,191,79,1100000,28000,68,75,65,53,64,27,73,1,Left
Dean Whitehead,Huddersfield Town,35,1786,183,77,150000,8000,66,37,59,63,60,65,67,1,Right
Elias Kachunga,Huddersfield Town,25,1860,178,74,3900000,30000,72,84,71,63,72,37,74,1,Right
Florent Hadergjonaj,Huddersfield Town,22,1813,182,73,3700000,13000,72,76,48,65,69,68,67,1,Right
Joe Lolley,Huddersfield Town,24,1680,178,72,675000,11000,65,75,59,60,68,37,58,1,Left
Joel Coleman,Huddersfield Town,21,1035,198,82,290000,3000,60,61,60,55,61,45,57,1,Right
Jon Gorenc Stankovic,Huddersfield Town,21,1487,190,78,600000,6000,62,53,40,50,53,61,65,1,Right
Jonas Lössl,Huddersfield Town,28,1070,195,88,5500000,21000,75,74,77,67,77,32,71,1,Right
Jonathan Hogg,Huddersfield Town,28,1872,176,73,4600000,42000,74,70,55,65,68,71,79,1,Right
Kasey Palmer,Huddersfield Town,20,1823,175,68,3800000,48000,71,76,66,67,74,47,61,1,Right
Laurent Depoitre,Huddersfield Town,28,1717,191,91,6000000,50000,74,58,72,59,63,37,84,1,Right
Martin Cranie,Huddersfield Town,30,1677,183,78,650000,24000,68,68,42,59,62,67,71,1,Right
Mathias Jorgensen,Huddersfield Town,27,1726,191,85,6500000,40000,75,69,39,61,56,73,82,1,Right
Michael Hefele,Huddersfield Town,26,1603,192,91,1800000,29000,70,52,44,54,48,68,78,1,Right
Philip Billing,Huddersfield Town,21,1795,197,80,1500000,18000,67,62,64,62,64,64,68,1,Left
Rajiv van La Parra,Huddersfield Town,26,1730,181,72,1200000,26000,69,84,56,59,77,37,63,1,Right
Scott Malone,Huddersfield Town,26,1892,189,75,2300000,29000,71,76,62,63,69,67,73,1,Left
Steve Mounié,Huddersfield Town,22,1866,190,80,11000000,50000,76,74,74,61,66,44,81,1,Right
Tom Ince,Huddersfield Town,25,1761,178,66,7000000,46000,74,79,69,68,77,26,53,1,Left
Tommy Smith,Huddersfield Town,25,1761,186,84,3300000,27000,72,74,34,67,65,70,73,1,Right
Ahmed Musa,Leicester City,24,1854,171,66,9000000,55000,75,93,75,62,78,28,57,2,Right
Aleksandar Dragovic,Leicester City,26,1881,184,76,9000000,47000,77,72,51,61,65,78,76,2,Right
Andy King,Leicester City,28,1944,184,79,3100000,43000,72,64,71,68,70,68,71,1,Right
Ben Chilwell,Leicester City,20,1805,178,77,2800000,28000,70,76,43,64,71,66,69,1,Left
Ben Hamer,Leicester City,29,1132,192,91,700000,27000,68,71,63,63,68,45,69,1,Right
Christian Fuchs,Leicester City,31,2129,187,89,5000000,62000,76,62,69,77,71,76,77,2,Left
Daniel Amartey,Leicester City,22,1961,186,79,8000000,45000,75,73,60,63,70,72,86,1,Right
Danny Simpson,Leicester City,30,1849,176,80,4800000,52000,75,69,38,61,67,77,76,2,Right
Demarai Gray,Leicester City,21,1711,180,74,6500000,45000,73,90,66,64,80,23,55,1,Right
Eldin Jakupovic,Leicester City,32,1168,191,85,1800000,30000,72,73,70,69,77,47,71,1,Right
Harry Maguire,Leicester City,24,1667,194,100,10500000,53000,77,46,37,56,61,77,82,1,Right
Islam Slimani,Leicester City,29,1985,188,83,18000000,92000,81,69,77,67,72,47,85,3,Right
Jamie Vardy,Leicester City,30,2047,179,74,17000000,89000,81,91,79,63,77,51,78,3,Right
Kasper Schmeichel,Leicester City,30,1355,189,89,19000000,65000,83,83,82,82,86,61,80,2,Right
Kelechi Iheanacho,Leicester City,20,1762,185,82,11500000,50000,75,84,75,60,74,22,68,1,Left
Leonardo Ulloa,Leicester City,30,1807,188,89,5500000,62000,74,49,72,62,69,42,79,1,Right
Marc Albrighton,Leicester City,27,1988,175,74,9500000,68000,77,79,69,74,77,47,70,2,Right
Wilfred Ndidi,Leicester City,20,1988,183,74,12000000,47000,77,74,60,65,67,78,80,1,Right
Riyad Mahrez,Leicester City,26,1935,179,67,30500000,88000,83,82,74,78,88,28,55,3,Left
Shinji Okazaki,Leicester City,31,1977,173,78,8000000,74000,77,74,74,69,78,47,75,2,Right
Vicente Iborra,Leicester City,29,2062,190,91,17000000,85000,82,50,73,73,68,83,83,2,Right
Wes Morgan,Leicester City,33,1476,186,101,3600000,62000,77,37,30,41,57,77,82,2,Right
Yohan Benalouane,Leicester City,30,1764,185,86,4900000,52000,75,64,39,57,54,75,79,1,Right
Adam Lallana,Liverpool,29,2141,172,73,25000000,135000,83,73,75,80,84,65,74,3,Right
Alberto Moreno Pérez,Liverpool,24,2028,171,65,8000000,76000,76,88,65,68,78,68,74,2,Left
Alex Oxlade-Chamberlain,Liverpool,23,2004,175,70,20000000,105000,80,88,70,74,84,52,71,2,Right
Ben Woodburn,Liverpool,17,1574,174,72,1100000,15000,65,77,62,57,68,21,53,1,Right
Daniel Sturridge,Liverpool,27,1882,180,76,23500000,140000,82,76,82,69,79,25,68,3,Left
Danny Ings,Liverpool,24,1872,178,73,10000000,92000,76,82,74,64,77,35,71,1,Right
Dejan Lovren,Liverpool,27,1739,188,84,17500000,110000,81,56,40,59,63,81,82,2,Right
Dominic Solanke,Liverpool,19,1690,187,80,3800000,38000,70,75,67,62,73,25,63,1,Right
Emre Can,Liverpool,23,2135,184,82,19500000,105000,80,71,67,77,77,78,84,2,Right
Georginio Wijnaldum,Liverpool,26,2167,175,69,27000000,130000,82,81,75,76,84,66,74,3,Right
James Milner,Liverpool,31,2155,175,70,9500000,110000,80,67,74,82,77,76,78,2,Right
Joe Gomez,Liverpool,20,1623,188,77,3100000,40000,70,77,30,53,65,69,72,1,Right
Joel Matip,Liverpool,25,1884,195,90,26500000,110000,83,67,46,68,66,84,78,2,Right
Jordan Henderson,Liverpool,27,2183,182,67,21500000,115000,82,72,70,83,76,76,81,2,Right
Loris Karius,Liverpool,24,1203,189,87,14000000,71000,80,84,74,74,85,50,76,2,Right
Marko Grujic,Liverpool,21,1927,191,82,5000000,45000,71,67,68,67,67,69,77,1,Right
Mohamed Salah,Liverpool,25,2032,175,71,32500000,135000,83,93,73,74,87,45,66,3,Left
Nathaniel Clyne,Liverpool,26,2057,175,67,22000000,115000,82,83,61,71,77,80,76,2,Right
Philippe Coutinho,Liverpool,25,2049,171,71,56000000,205000,86,82,78,83,88,35,64,3,Right
Roberto Firmino,Liverpool,25,2101,181,76,33000000,135000,83,77,81,79,85,46,77,3,Right
Sadio Mané,Liverpool,25,2046,175,69,39000000,175000,84,93,78,75,85,36,75,3,Right
Simon Mignolet,Liverpool,29,1268,193,87,12000000,91000,81,80,76,65,84,56,78,3,Right
Trent Alexander-Arnold,Liverpool,18,1904,175,69,1900000,23000,69,81,58,70,67,64,66,1,Right
Benjamin Mendy,Manchester City,22,1935,185,85,13000000,86000,78,82,48,70,75,74,79,2,Left
Bernardo Silva,Manchester City,22,2012,173,64,43500000,165000,84,81,72,81,90,45,61,2,Left
Claudio Bravo,Manchester City,34,1464,184,80,9000000,110000,82,80,80,87,81,56,77,3,Right
Danilo Luiz da Silva,Manchester City,25,2123,184,78,10500000,95000,78,78,70,71,74,76,79,2,Right
David Silva,Manchester City,31,1977,173,67,44000000,220000,87,68,72,87,87,38,61,4,Left
Ederson Santana de Moraes,Manchester City,23,1320,188,86,26000000,87000,83,81,76,82,87,63,78,2,Left
Eliaquim Mangala,Manchester City,26,1800,187,84,11000000,100000,78,70,42,55,51,78,85,2,Left
Fabian Delph,Manchester City,27,2073,174,60,10000000,110000,77,74,69,73,82,68,75,2,Left
Fernando Luiz Rosa,Manchester City,32,2150,179,67,12500000,130000,82,73,73,76,78,77,78,3,Right
Gabriel Fernando de Jesus,Manchester City,20,1967,175,73,31000000,115000,81,87,79,71,87,26,67,2,Right
Ilkay Gundogan,Manchester City,26,2148,180,80,46000000,190000,85,71,74,83,87,64,71,3,Right
John Stones,Manchester City,23,1807,188,75,14500000,105000,79,71,35,67,71,80,77,2,Right
Kevin De Bruyne,Manchester City,26,2162,181,68,83000000,285000,89,75,84,88,85,45,75,4,Right
Kyle Walker,Manchester City,27,2164,183,83,24000000,130000,83,90,63,73,76,80,81,3,Right
Leroy Sané,Manchester City,21,2001,183,75,34500000,125000,82,94,77,72,86,35,70,2,Left
Nicolás Otamendi,Manchester City,29,1886,183,81,20000000,140000,83,63,56,59,54,83,81,3,Right
Oleksandr Zinchenko,Manchester City,20,1939,175,64,5000000,51000,72,72,61,75,75,58,58,1,Left
Raheem Sterling,Manchester City,22,1960,170,69,29500000,140000,82,93,71,74,85,46,61,3,Right
Sergio Agüero,Manchester City,29,2074,173,70,66500000,325000,89,87,88,75,89,23,72,4,Right
Shay Facey,Manchester City,22,1523,179,64,550000,21000,64,70,28,50,59,63,64,1,Right
Vincent Kompany,Manchester City,31,1913,193,85,26000000,170000,85,63,54,65,64,84,83,4,Right
Yaya Touré,Manchester City,34,2161,189,90,12500000,145000,83,63,82,80,76,70,83,4,Right
Ander Herrera Agüera,Manchester United,27,2213,182,70,32000000,190000,84,73,72,81,83,78,77,3,Right
Anthony Martial,Manchester United,21,2052,181,76,33000000,115000,82,90,79,71,86,41,74,3,Right
Antonio Valencia,Manchester United,31,2185,180,83,17000000,130000,83,87,66,75,81,78,85,2,Right
Ashley Young,Manchester United,31,2061,175,65,4400000,84000,75,77,69,77,79,65,61,2,Right
Axel Tuanzebe,Manchester United,19,1713,185,75,6000000,44000,73,75,34,57,64,73,72,1,Right
Chris Smalling,Manchester United,27,1826,194,81,17000000,120000,81,72,46,56,59,81,83,3,Right
Daley Blind,Manchester United,27,2078,180,72,13500000,120000,80,60,56,79,76,80,76,3,Left
David de Gea,Manchester United,26,1458,193,76,64500000,215000,90,90,85,87,90,58,86,4,Right
Eric Bailly,Manchester United,23,1890,187,77,35500000,150000,84,78,42,59,65,84,84,2,Right
Henrikh Mkhitaryan,Manchester United,28,2148,177,75,39000000,195000,85,86,79,80,87,54,70,3,Right
Jesse Lingard,Manchester United,24,2005,175,62,13000000,95000,78,83,74,72,81,51,67,2,Right
Joel Castro Pereira,Manchester United,21,1048,188,70,3700000,34000,71,69,74,63,72,43,68,1,Right
Juan Manuel Mata García,Manchester United,29,1984,170,63,30500000,195000,84,67,76,84,84,32,55,3,Left
Luke Shaw,Manchester United,21,2011,185,75,14000000,91000,79,82,51,71,77,76,76,2,Left
Marcos Rojo,Manchester United,27,2045,187,80,21000000,130000,82,71,59,69,68,81,83,3,Left
Marcus Rashford,Manchester United,19,2040,185,70,26500000,74000,81,92,77,73,83,38,74,2,Right
Marouane Fellaini,Manchester United,29,2038,194,85,12000000,140000,79,52,72,70,73,76,89,3,Right
